stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC3711,11388,28.682061,77.054037,Qamruddin Nagar Terminal,11388
U99951,11389,28.584867,77.224367,Lodhi Colony,11389
U02657,11390,28.58745,77.22405,18-Block Lodhi Colony,11390
DC0093,11391,28.592094,77.232747,JLN Stadium / Sunehri Pulla Depot,11391
U02857,11392,28.592517,77.2365,Ishpat Bhawan,11392
U02933,11393,28.586133,77.241067,CGO Complex,11393
U99932,11394,28.5835753,77.2405581,Pant Nagar,11394
U02880,11395,28.573217,77.237783,Defence Colony (Lajpat Nagar Mtr Stn),11395
U02848,11396,28.5691249,77.2354946,MCKR Hospital,11396
U02825,11397,28.5598,77.2336,Central School (KV),11397
U02866,11398,28.559,77.2373,Lady Shri Ram College,11398
U02949,11399,28.554483,77.2432,Kailash Colony,11399
U02997,11400,28.552517,77.2462,Sant Nagar,11400
U03029,11401,28.5486,77.2492,Nehru Place,11401
U03110,11402,28.548578,77.255659,Nehru Place Terminal,11402
U03165,11403,28.538692,77.261795,Govind Puri,11403
DC3693,11404,28.537554,77.261339,Govindpuri Gali No 5,11404
U03156,11405,28.5346,77.2602,Ram Puri Gali No 13,11405
U03154,11406,28.5329,77.2596,Govindpuri Extn Gali No. 16,11406
U03144,11407,28.531895,77.259197,DDA Flats Kalkaji,11407
U03131,11408,28.529982,77.258506,DDA Market Kalkaji,11408
U03135,11409,28.528315,77.257817,DDA Flats KalkaJi,11409
U03114,11410,28.5241,77.2562,Tara Apartment,11410
U03084,11411,28.51945,77.254483,Guru Ravi Das Ashram / Tughlaqabad Extension,11411
U03070,11412,28.517133,77.253667,Jamia Hamdard Library,11412
U03059,11413,28.514917,77.252817,Majeedia Hospital,11413
U03036,11414,28.511838,77.249778,Hamdard Nagar / Sangam Vihar,11414
DC4579,11415,28.660016,77.144475,Karampura Terminal,11415
U01424,11416,28.658615,77.144108,Moti Nagar,11416
U01388,11417,28.6568,77.140833,Moti Nagar Market,11417
U01344,11418,28.655,77.1376,Kirti Nagar,11418
U01271,11419,28.6528,77.1324,Basai Darapur / Ramesh Nagar,11419
U01240,11420,28.6519,77.1289,Bali Nagar,11420
U01220,11421,28.650783,77.1262,Raja Garden,11421
U03944,11422,28.647847,77.120113,Rajouri Garden,11422
U01092,11423,28.645683,77.116211,Tagore Garden,11423
U01076,11424,28.644,77.113549,Tagore Garden Metro Station / Tatarpur,11424
U01038,11425,28.64192,77.108859,Subhash Nagar Crossing / Mukherji Park,11425
U01013,11426,28.639983,77.10435,Meenakshi Garden,11426
U00976,11427,28.638567,77.100583,Sant Pura Tilak Nagar,11427
U00933,11428,28.634409,77.097456,Tilak Nagar Jail Road,11428
U00955,11429,28.6312,77.09885,Fateh Nagar,11429
U00968,11430,28.628,77.100233,G Block Hari Nagar,11430
U00986,11431,28.623954833157,77.1020124335917,Hari Nagar Depot,11431
U01766,11432,28.597241,77.171473,Officer Enclave S.P Marg,11432
U01815,11433,28.599196,77.175168,Bapu Dham,11433
U01845,11434,28.600686,77.177964,Railway Colony (Sardar Patel Marg),11434
U01939,11435,28.603864,77.184052,Bhartiya Sadhu Samaj,11435
U02031,11436,28.60751,77.188687,Palika Kutumb,11436
U02072,11437,28.611132,77.190671,11 Murti,11437
U02123,11438,28.621202,77.193727,Talkatora Stadium,11438
U02419,11439,28.625396,77.209524,Gurudwara Bangla Sahib,11439
U99913,11440,28.626382,77.212661,YMCA / Palika Kendra,11440
U02539,11441,28.628746,77.216568,Palika Kendra,11441
U99914,11442,28.667068,77.229274,ISBT Kashmere Gate,11442
